Attrition_Flag,Gender,Education_Level,Marital_Status,Card_Category
Existing Customer,M,High School,Married,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,F,High School,Unknown,Blue
Existing Customer,M,Uneducated,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Unknown,Married,Gold
Existing Customer,M,High School,Unknown,Silver
Existing Customer,M,Uneducated,Single,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,M,Uneducated,Unknown,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,M,College,Single,Blue
Existing Customer,M,Graduate,Unknown,Blue
Existing Customer,F,Graduate,Married,Blue
Existing Customer,M,Unknown,Unknown,Blue
Existing Customer,M,Post-Graduate,Single,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,M,High School,Married,Blue
Existing Customer,F,Graduate,Married,Blue
Existing Customer,M,Doctorate,Divorced,Blue
Attrited Customer,F,Graduate,Married,Blue
Existing Customer,M,High School,Married,Blue
Existing Customer,F,Unknown,Single,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,M,High School,Unknown,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,F,Uneducated,Single,Blue
Existing Customer,M,High School,Married,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,M,Uneducated,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,F,College,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,F,College,Single,Blue
Existing Customer,F,Graduate,Married,Blue
Existing Customer,F,High School,Married,Gold
Existing Customer,F,Graduate,Unknown,Blue
Attrited Customer,F,Doctorate,Married,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,F,College,Single,Silver
Existing Customer,M,High School,Married,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,M,Uneducated,Single,Blue
Existing Customer,M,Doctorate,Married,Blue
Existing Customer,M,Doctorate,Married,Blue
Existing Customer,M,High School,Married,Blue
Existing Customer,M,College,Single,Blue
Existing Customer,F,Unknown,Married,Blue
Attrited Customer,F,Graduate,Married,Blue
Existing Customer,F,High School,Married,Blue
Existing Customer,M,Unknown,Married,Blue
Attrited Customer,M,Graduate,Married,Blue
Existing Customer,F,Graduate,Unknown,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,M,Uneducated,Married,Blue
Existing Customer,F,Graduate,Married,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,M,Unknown,Married,Blue
Attrited Customer,M,Graduate,Married,Silver
Existing Customer,M,High School,Divorced,Blue
Existing Customer,M,Post-Graduate,Single,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,M,Uneducated,Single,Silver
Existing Customer,M,College,Married,Blue
Existing Customer,F,Uneducated,Single,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Doctorate,Married,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,F,Graduate,Married,Blue
Existing Customer,M,Graduate,Unknown,Blue
Existing Customer,M,Uneducated,Married,Blue
Existing Customer,M,College,Single,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,F,Uneducated,Single,Blue
Existing Customer,M,Graduate,Divorced,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Unknown,Unknown,Blue
Attrited Customer,F,Unknown,Married,Blue
Existing Customer,F,Graduate,Married,Blue
Existing Customer,M,Graduate,Divorced,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,F,Uneducated,Single,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,F,High School,Single,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,F,Unknown,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Doctorate,Married,Blue
Existing Customer,M,College,Married,Blue
Attrited Customer,M,Unknown,Married,Blue
Existing Customer,F,College,Single,Blue
Existing Customer,F,Unknown,Married,Silver
Existing Customer,M,Graduate,Married,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,M,High School,Unknown,Blue
Existing Customer,F,Post-Graduate,Married,Blue
Existing Customer,M,Post-Graduate,Single,Blue
Existing Customer,M,Uneducated,Married,Blue
Existing Customer,F,Unknown,Married,Blue
Existing Customer,M,Unknown,Divorced,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,M,High School,Divorced,Blue
Existing Customer,F,Uneducated,Married,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,M,High School,Unknown,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,M,Doctorate,Married,Blue
Existing Customer,F,High School,Married,Blue
Existing Customer,M,Graduate,Single,Blue
Existing Customer,F,Doctorate,Married,Blue
Existing Customer,M,High School,Married,Blue
Existing Customer,F,High School,Single,Blue
Existing Customer,M,College,Single,Silver
Existing Customer,M,Graduate,Single,Blue
Existing Customer,M,Graduate,Single,Blue
Attrited Customer,M,Graduate,Married,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,F,Uneducated,Unknown,Silver
Existing Customer,F,Graduate,Married,Blue
Existing Customer,M,Unknown,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,M,Doctorate,Single,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,M,High School,Divorced,Blue
Existing Customer,M,College,Divorced,Blue
Existing Customer,F,College,Married,Blue
Existing Customer,F,Post-Graduate,Single,Blue
Attrited Customer,F,High School,Married,Blue
Existing Customer,M,Unknown,Single,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,F,Graduate,Single,Blue
Attrited Customer,M,College,Single,Blue
Attrited Customer,F,Uneducated,Married,Blue
Existing Customer,F,Graduate,Single,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,F,Graduate,Married,Blue
Existing Customer,M,High School,Married,Blue
Existing Customer,M,High School,Single,Blue
Existing Customer,M,Graduate,Married,Blue
Existing Customer,F,Graduate,Single,Silver
Existing Customer,M,Uneducated,Single,Blue
